AnguloError,Distancia,Comando
-21.695002072207146,202.53736301126906,3
-21.99050831454585,202.71031627466624,3
-22.788344278085006,201.1592002155726,3
-22.42865040547798,201.7598644424224,3
-21.99050831454585,202.71031627466624,3
-22.39221420142775,201.85278261161008,3
-21.746495262864656,201.8942369454202,3
-22.774962646763782,201.2250680886454,3
-21.963984328396492,202.8448330844508,3
-22.424133528753956,201.91922290269974,3
-22.454516982372056,201.29121276873752,3
-22.66101929744218,202.17180737428617,3
-23.115938816656694,201.1592002155726,3
-22.37047913524954,202.0737016876085,3
-22.616587572013813,202.3919932399513,3
-22.66035733958094,202.140525624922,3
-22.67374743557326,202.0737016876085,3
-22.765870939557914,201.1592002155726,3
-21.594117009819783,203.06695595557753,3
-22.616587572013813,202.3919932399513,3
-22.348005796722447,202.0737016876085,3
-22.518349743474772,200.83845142439483,3
-21.99050831454585,202.71031627466624,3
-22.37047913524954,202.0737016876085,3
-22.37047913524954,202.0737016876085,3
-22.37047913524954,202.0737016876085,3
-21.977278336012347,202.7774335526097,3
-22.52627566694737,203.3394903898184,3
-22.66101929744218,202.17180737428617,3
-22.52627566694737,203.3394903898184,3
-22.20151606546436,203.31059296389492,3
-22.616587572013813,202.3919932399513,3
-22.616587572013813,202.3919932399513,3
-22.460519378517603,201.12521346012795,3
-22.404324167230016,201.7598644424224,3
-22.404324167230016,201.7598644424224,3
-22.473937924583453,201.05874268158044,3
-22.003692428829652,202.62448627011017,3
-22.384683700368825,201.98098311497213,3
-22.136052069511976,203.7510078340568,3
-22.017494842810123,204.63316211112502,3
-22.272585215883353,202.93167240068453,3
-22.53957687641322,203.27309216366825,3
-22.52627566694737,203.3394903898184,3
-22.446132678268683,201.671815375391,3
-22.863888541649075,200.74931747143833,3
-22.500945821932746,201.03755238076437,3
-22.40194289359175,201.8942369454202,3
-22.40194289359175,201.8942369454202,3
-23.079874240121157,201.26505892685006,3
-22.25880707948771,203.02268429434957,3
-23.048383555327646,201.41902922906644,3
-22.49587640494768,200.83845142439483,3
-22.36133169650978,202.00715694297992,3
-22.81488688540786,200.99254912795965,3
-22.75712999884081,201.31278315841834,3
-27.287426565278295,186.37218782067262,3
-26.60075908189195,186.356582125284,3
-26.338557406409464,190.53995464243923,3
-26.832813169815978,187.542290888959,3
-26.764290692988567,187.82012789726932,3
-26.958250253922827,186.91353057505054,3
-26.454314883389344,187.85791536989686,3
-26.508929668250047,187.6242519721616,3
-26.781312157194108,186.05184196348787,3
-27.248096129466518,187.31138700675828,3
-26.272904074152052,186.93950798440136,3
-26.532772709800398,186.71131421770954,3
-27.689226869424658,186.29799009202824,3
-26.82978091417347,187.12231248662448,3
-27.57240903504787,184.75413764140472,3
-27.377893032118592,185.93263885758475,3
-27.505811619987725,185.19688434528598,3
-26.855591702445423,184.883263908711,3
-28.045260550704,184.19899463085204,3
-27.402208230423597,183.79486354983896,3
-27.62796186995496,184.64158642150008,3
-27.684012451746526,184.41160722331608,3
-27.1744962612933,183.0497012675854,3
-28.68872888473298,184.65468628773607,3
-27.181423012762238,183.0497012675854,3
-27.266774247607486,184.79959342781146,3
-28.475700282379194,184.01692312776044,3
-27.397521119307527,183.99695367041966,3
-27.931103954683408,183.0263850454815,3
-27.843503419098298,183.5216206968392,3
-27.463929317126855,183.72074049238043,3
-28.220689849678365,183.60180493076138,3
-28.505432870471864,184.21187564728228,3
-28.67423253976831,181.31528246435244,3
-28.384504910060045,183.03578680790903,3
-27.80549403363979,182.20515480712206,3
-27.85371561150994,184.06198080436454,3
-27.920825573541677,181.7306843668499,3
-28.665660895174895,181.68717437263774,3
-28.164104119917056,182.3388051144352,3
-27.673841613211593,183.0515280186495,3
-30.35762336100484,182.50331040952472,3
-27.42973671907781,182.45162122552628,3
-28.36763564386382,181.2167294040801,3
-29.10191532399483,181.2167294040801,3
-28.898383800048066,182.3388051144352,3
-28.3736332722916,183.07978960755068,3
-28.82720264181168,180.47115159828655,3
-28.42687310337716,182.8379749599412,3
-27.50149350823007,183.96991511925404,3
-28.180374672681594,182.11626598890018,3
-27.70366834933533,184.4151581949869,3
-27.911591333137537,185.30978355437568,3
-27.838979143570683,185.71052279585942,3
-27.864385593827635,185.5431484247288,3
-27.501933143278293,185.5431484247288,3
-27.85526859501634,185.5431484247288,3
-27.081529623080954,183.70948192889557,3
-27.04228686243846,186.08157567254702,3
-27.76981321501512,186.13593112702318,3
-26.68931632181041,186.13593112702318,3
-26.495756765997925,187.2685695624034,3
-27.065642457507096,185.9828072970605,3
-27.117502257119142,185.5184290493367,3
-27.900026392055096,185.13794440179942,3
-27.772569992935985,185.98367761578174,3
-27.061016420857356,186.08779056650357,3
-27.397126597822094,186.24894788768358,3
-28.080458279868097,184.40200263972324,3
-27.596718411041422,185.1217752339004,3
-28.582375692099788,183.51155397194188,3
-27.901127794938077,185.35316947569734,3
-27.88974945814664,185.40033202523753,3
-27.638713504725487,182.63019373662405,3
-27.25274664561141,184.8967383716631,3
-27.43548451354785,183.76276540285076,3
-27.196899545682456,185.13084535532835,3
-27.980850767006558,184.7364849424465,3
-27.623166350196215,184.68892548276466,3
-27.333399587500395,184.2919804811809,3
-26.981377532035935,184.1815435497718,3
-27.402472062604673,183.79632044173118,3
-27.75092641595913,183.9483562855352,3
-27.97946794209244,186.71073414710827,3
-26.81686027459638,187.26188780850123,3
-26.87167692573965,186.88225688142603,3
-26.107873853011,187.26188780850123,3
-28.495611981279012,185.6439618376621,3
-27.145992143227133,185.16708207254499,3
-27.269579707837835,184.41422397132513,3
-27.54927199618764,187.01349829179847,3
-26.721240080411107,185.54736551993082,3
-27.58253678555137,184.6463955596209,3
-27.010963738369085,185.93263885758475,3
-27.071844024980507,185.6523782164904,3
-28.21984285114479,185.14836183730597,3
-27.60154701190592,186.5522418395526,3
-26.821544799591805,187.0635763828662,3
-26.395056109076563,187.58523257552218,3
-27.169343850075535,187.17126942779802,3
-26.428404541054945,187.39288280818502,3
-27.2057127846644,186.8628509462504,3
-27.583338634107733,184.59656027833992,3
-27.325248780281015,186.1133784551952,3
-27.85400357986184,187.12394802828052,3
-27.269687818727505,186.34311790283434,3
-26.570289415163913,186.34990864597492,3
-27.35151801971989,188.0200858448057,3
-27.709444205511915,188.0200858448057,3
-26.62220733986024,185.96012925382098,3
-26.805080479195723,187.04262083368022,3
-26.04209381363394,187.4392090564409,3
-26.424274669011567,187.33462304263037,3
-26.668831960684585,187.89557043378568,3
-26.75589660462964,187.52238021318715,3
-26.62220733986024,185.96012925382098,3
-26.29773554729492,187.99795900039717,3
-26.665557456814057,187.94664676518738,3
-27.487074286112332,187.12394802828052,3
-26.792869386967965,187.09384233610075,3
-27.08122156378363,187.47330732077796,3
-27.093418689872678,187.4225130543416,3
-26.506617199051846,186.66771293415133,3
-26.701507220637865,185.53105530994438,3
-26.51550853658337,186.66771293415133,3
-26.04209381363394,187.4392090564409,3
-26.264908561544715,188.08955021407593,3
-26.448360764476575,186.95118478188806,3
-26.17000984245729,186.53051046106765,3
-25.93105024170295,188.17041772069376,3
-25.978947058200475,187.6717726629978,3
-26.106439898571594,186.76267763796386,3
-26.978278729013326,187.82784394969795,3
-26.884089225228678,188.47959593382987,3
-26.89262112454847,188.57708941065488,3
-26.685079309915594,187.77698138474133,3
-26.44642854183158,187.01767789155,3
-26.144946636994575,186.69292213167262,3
-26.593471304024902,188.25161116029318,3
-25.58765611719585,188.11724365182081,3
-27.349412937877148,185.8337618647339,3
-27.289221075055636,184.02814127861907,3
-27.32193001811254,183.7209524461579,3
-27.939762629848985,181.3540680374746,3
-28.37093047249347,180.92688372975368,3
-28.168629689305746,182.03970918201503,3
-28.8872823790349,182.19217660481416,3
-28.800541009157627,180.65843006278774,3
-28.751160069238182,180.88424371311817,3
-27.745290452309476,182.26553473458918,3
-28.68388055809281,181.15271551862057,3
-27.91010039085046,181.3988717554151,3
-27.854279273189846,181.62644710321248,3
-28.202198283662867,181.8079183529781,3
-28.202198283662867,181.8079183529781,3
-28.694693806823295,181.10960200424347,3
-28.325141034471216,181.10960200424347,3
-28.261696619778263,181.53785725540706,3
-28.17935569077717,181.99650885352898,3
-28.615457044571585,181.72816614481684,3
-27.439249940737383,182.20104260732197,3
-28.5458350630783,182.10802023546003,3
-28.91538783543038,182.10802023546003,3
-27.460089007863914,182.0197110639108,3
-28.535360921062008,182.15000246921346,3
-27.525785982175094,181.74811445448535,3
-28.484199482667663,182.53105940381798,3
-27.923942113961573,181.6198852189656,3
-27.931048126515122,181.6198852189656,3
-28.1293034583382,180.50146996516082,3
-28.083522122590608,178.74263956554884,3
-28.035020016637162,178.9710014340297,3
-28.110129302519965,180.4916922964511,3
-29.064446639578037,179.3426591031742,3
-28.57786297311378,179.98703014473497,3
-28.869819417113106,180.40945610629944,3
-28.786059123111613,180.8367233047876,3
-28.002302843510222,181.099645306648,3
-27.87955770002327,181.80361142040144,3
-27.532691216097803,179.61120043004001,3
-28.26010620061274,179.61120043004001,3
-27.561382792874625,181.40894079006878,3
-27.486934342626768,181.88946032823065,3
-27.98165899909634,181.1836805398015,3
-28.355950092601446,181.1836805398015,3
-28.263918905768705,179.65310955887261,3
-28.063741143026306,180.7705042680568,3
-27.6790417967551,180.81316511547178,3
-27.062040303296328,182.25731928217854,3
-26.76820274183997,181.86656001997216,3
-27.905145653370553,181.49468887122214,3
-27.838728483245276,181.76407801894948,3
-27.727609154705178,182.43067813152672,3
-27.7124444420822,182.56757329837222,3
-27.15032692454625,181.6688763829559,3
-27.379014537867846,182.52123262529236,3
-26.956502521088993,182.79236463304315,3
-27.37724106368067,182.34215134183162,3
-27.43207915774758,182.11603370695045,3
-28.20180469228528,181.86808561264496,3
-27.656245223698292,183.0099392207761,3
-29.417024701052952,183.3219854650566,3
-27.63713050215941,182.9802981792,3
-27.576618283401118,183.41586629371082,3
-27.7124444420822,182.56757329837222,3
-27.221747109269003,183.28072974714033,3
-27.439142149548076,181.98471051212633,3
-27.178001948453115,183.46256964212455,3
-27.32496460985776,182.74815402409024,3
-27.901481722463046,181.40504373327582,3
-27.175014589777305,181.27122179937112,3
-27.32242086264158,182.56781129027175,3
-27.815514274563,181.85810827005656,3
-27.810836304332298,181.85810827005656,3
-27.39513690546829,182.1671632733181,3
-27.978054786410482,182.97337904415116,3
-28.15686869165212,182.04915093862445,3
-27.321350048917907,182.79236463304315,3
-28.029258572899323,182.79283510071906,3
-27.586563559389276,181.08911183293048,3
-27.52107346870767,181.54315574219854,3
-27.20382843168693,181.13376361942363,3
-27.355746103522918,182.43067813152672,3
-27.20382843168693,181.13376361942363,3
-27.497193032768593,181.53727960886127,3
-27.20382843168693,181.13376361942363,3
-26.66012437770047,182.09123706758305,3
-26.61643969627407,182.27302765401714,3
-28.76984716144335,182.4516082907622,3
-27.21283732882698,183.01775048520693,3
-27.448631614593126,183.64364865918515,3
-27.146827605878002,183.28804482996057,3
-26.8327157797806,183.29112520335744,3
-27.67709928263386,182.92298525367326,3
-28.33816999671825,181.3360600474968,3
-28.03559088818737,180.7995471717372,3
-27.31783134165464,182.69875141403793,3
-28.300166078536463,181.30807753023797,3
-87.1720669931855,293.209840076237,3
-86.8262405711687,287.62111095167467,3
-85.46483472663017,280.2351619338107,3
-87.23499233592561,314.38985440189725,3
-82.79156574738519,274.5654889184607,3
-80.78694688968486,279.87900902915356,3
-82.34520594250844,308.9891025696477,3
-82.4930844456789,308.14051381652894,3
-80.10677487628172,277.74222145861785,3
-81.86032579629193,306.3382177017917,3
-80.11497604192503,276.7182002824897,3
-81.38607965972597,307.05937636806397,3
-81.54155806999479,307.2580386680063,3
-82.10535489967572,304.1108350163009,3
-81.67570493400744,302.0516048398479,3
-82.34709134598785,292.79205504743993,3
-82.18323621958434,286.4087346588746,3
-82.36204241413424,291.76361073036435,3
-81.71616234099979,289.52908058999157,3
-84.25709029223087,288.9300415595381,3
